name,address,website,normal_score
Sendlinger Berg Fischer,"Plinganserstr. 6 Im Stemmerhof, 81369 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10434773,4.0
California Bean,"Dachauer Str. 12, 80335 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10436138,4.0
MUN Restaurant,"Innere Wiener Str. 18 Innere Wiener Str 18, 81667 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10437981,4.0
Grapes Weinbar,"Ledererstr. 8 80331 Munich, 80331 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10438077,4.5
Khorassan Afghanisches Restaurant,"Ungererstr. 56 Haltestelle Dietlindenstrasse U6 & Biss 144, 80805 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10438648,4.0
Manouche,"Valleystr. 19, 81371 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10445600,4.5
HeimWerk Schwabing,"Friedrichstr. 27, 80801 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10449562,4.0
Puro Cioccolato,"Volkartstr. 44 Ecke Albrechtstrasse, 80636 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10450208,4.0
HANS IM GLUECK Burgergrill & Bar,"Schleissheimer Str. 506, 80933 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10454626,3.0
HANS IM GLUECK Burgergrill & Bar,"Luisenstr. 14, 80333 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10454645,4.0
HANS IM GLUECK Burgergrill & Bar,"Sat Terminal Ebene 04, 85356 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10454646,3.0
HANS IM GLUECK Burgergrill & Bar,"Bergmannstr. 50, 80339 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10454696,4.0
Wimmer,"Liebherrstr. 22, 80538 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10455030,3.5
Gecobli - Gourmet Gelateria,"Schellingstr. 15, 80799 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10455247,4.5
Cirkuswiese,"Theresienhoehe 7, 80339 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10456006,
Venchi,"Blumenstr. 4, 80331 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10456890,5.0
Trattoria cucina e cultura,"Leopoldstr. 60, 80802 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10461720,4.5
Polka Bar & Lokal,"Pariser Str. 38, 81667 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10462177,4.0
Risotto Restaurant Munich,"Hirschgartenallee 38 Nymphenburg Castle , Romanplatz, 80639 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10463037,5.0
Vinzenzmurr Altstadt,"Marienplatz 8, 80331 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10463156,4.0
Ohayou,"Belgradstrasse 71, 80804 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1047167,3.5
Rosita's Chili,"Karlsplatz 1 in the Stachus Passagen, 80335 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10479869,3.0
Schuhmair,"Ludwigfelderstr. 1, 80999 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10484190,4.5
MUC-Bar,"Westenriederstr. 13, 80331 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10487548,4.0
Santorini UG,"Rosenheimer Str. 82, 81669 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10489974,
Solo Italia,"Bergstr. 5 81539 München, 81539 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10490548,4.5
Vereinsheim ESV München-Freimann e.V.,"Frankplatz 15, 80939 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10492500,4.0
